Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region_name),Region Code (region_code),Sub-Region Name (subregion_name),Sub Region Code (subregion_code),Harmonized System Code (hs_code),Commodity Name (commodity),Quantity unit (unit),Commodity quantity (value_qt),Quantity value (INR) (value_rs),Quantity value (USD) (value_dl)
"2020-03-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","39094030","Alkyl Phenol-Formaldehyde Resins","Kgs",27.5,56.02,0.08
"2021-04-01","Maldives","MDV","462","Asia","142","Southern Asia","34","40119000","Other","Nos",0.02,0.06,""
"2016-12-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","84242000","Spray Guns And Similar Appliances","Nos",0.53,1.42,0
"2020-01-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","85318000","Other Electric Sound/Visual Signlng Apprts","Nos",103.33,4.52,0.01
"2020-08-01","Maldives","MDV","462","Asia","142","Southern Asia","34","21041090","Other Than Dried Soup And Broths And Preparatons","Kgs",0.03,0.48,0
"2020-08-01","Jordan","JOR","400","Asia","142","Western Asia","145","28276020","Sodium Iodide","Kgs",0,0.05,""
"2020-01-01","Maldives","MDV","462","Asia","142","Southern Asia","34","39079120","Polyester Or Contract Resins Unsaturated","Kgs",39.8,48.06,0.07
"2021-12-01","Oman","OMN","512","Asia","142","Western Asia","145","28321090","Other Sodium Sulphite","Kgs",25,10.86,0.01
"2021-02-01","Yemen","YEM","887","Asia","142","Western Asia","145","30043190","Other Medicaments Containing Insulin","Kgs",0.13,7.65,0.01
"2021-12-01","Israel","ISR","376","Asia","142","Western Asia","145","38123990","Other","Kgs",52,30.02,0.04
"2021-01-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","85363000","Othr Apprts Fr Prtctng Elctrcl Circuits","Nos",1.88,10.4,0.01
"2024-08-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","84223000","Mchnry Fr Fillng,Closng,Sealng,Capsulng Or Labelling Bottles,Cans,Boxes,Bags/Othr Containers;Mchnry For Aerating Bever","Kgs",1383,0.47,0.06
"2015-10-01","Democratic People's Republic of Korea","PRK","408","Asia","142","Eastern Asia","30","68042220","Grinding Wheels Paper Etc","Kgs",0.03,0.4,0
"2019-02-01","Japan","JPN","392","Asia","142","Eastern Asia","30","40139041","Inner Tubes Used In Rear Tyres Of Tractors","Nos",0.15,1.84,0
"2017-03-01","Nepal","NPL","524","Asia","142","Southern Asia","34","70181010","Bangles","Kgs",24.08,29.05,0.04
"2017-02-01","Syrian Arab Republic","SYR","760","Asia","142","Western Asia","145","28331100","Disodium Sulphate","Kgs",540,28.35,0.04
"2024-04-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","30049084","Preparations Of Enzymes","Kgs",2262,1.96,0.24
"2015-01-01","Turkiye","TUR","792","Asia","142","Western Asia","145","90268090","Othr Instrmnts And Aprts Fr Msrng,Chkng Or Autmtclly Cntrlng The Flow,Dpth,Prsr Etc","Nos",9.23,22.03,0.04
"2018-09-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","90214090","Others","Nos",0.08,4,0.01
"2020-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84543090","Other Casting Machines","Nos",0.61,8.92,0.01
"2016-12-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","66019900","Other Umbrellas","Nos",0.02,0.01,""
"2017-01-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","83030000","Armord/Reinfrcd Safes Strong Boxs And Doors And Safe Dpost Lckrs Fr Strng Rooms Csh/ Deedboxs Etc Of Base Metal","Kgs",13.44,24.55,0.04
"2015-07-01","Maldives","MDV","462","Asia","142","Southern Asia","34","48239090","Others","Kgs",1.12,3.65,0.01
"2019-09-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","28100020","Boric Acid","Kgs",5,3.49,0
"2018-05-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","7032000","Garlic Fresh Or Chilled","Kgs",4205,754.57,1.12
"2016-12-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","13021990","Others, Derived From Vegetble Prodcts","Kgs",30,26.04,0.04
"2025-07-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","39269099","Othr Article Of Plastic Nes","Kgs",12779,0.77,0.09
"2019-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","85272900","Othr Redio-Broadcst Rcvrs Nt Cpbl To Oprt Wtht Extrnl Powr,Usd In Motr Vhcls,Incl Apprts Fr Rcvng Radio-Tlphny/Radio-T","Nos",0.33,0.34,0
"2025-04-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","72223011","Bright Barschromium Type","Kgs",72735,0.91,0.11
"2024-12-01","Japan","JPN","392","Asia","142","Eastern Asia","30","25081090","Othr Bentonite (Incl. Processed, Activatedand Ground","Kgs",140000,0.12,0.01
"2019-07-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","85365010","Control And Switch Gear","Nos",0.01,0.01,""
"2018-03-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","32041231","Acid Black 2(Nigrosine)","Kgs",3,4.66,0.01
"2015-10-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","9021010","Tea Green In Packets Nt Excdng 25 Grams","Kgs",0.15,0.67,0
"2017-10-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","84335900","Other Harvesting And Threshing Machinery","Nos",0,79.89,0.12
"2018-03-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","40111010","Radials Tyres Used On Motor Cars (Incl Station Wagons And Racing Cars)","Nos",0.08,3.41,0.01
"2018-04-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","83021020","Hinges 0F Brass","Kgs",1.04,6.98,0.01
"2021-11-01","Turkiye","TUR","792","Asia","142","Western Asia","145","28332400","Nickel Sulphate","Kgs",0,0.03,""
"2017-11-01","Nepal","NPL","524","Asia","142","Southern Asia","34","76109030","Aluminium Plates , Rods, Profiles, Tubes And The Like, For Use In","Kgs",5,19.01,0.03
"2016-03-01","Yemen","YEM","887","Asia","142","Western Asia","145","62143000","Shwls,Scrvs,Mufflers Etc Of Synthtc Fbrs","Nos",35.86,22.16,0.03
"2018-09-01","Japan","JPN","392","Asia","142","Eastern Asia","30","94036000","Other Wooden Furniture","Nos",1.13,32.88,0.05
"2015-11-01","Turkiye","TUR","792","Asia","142","Western Asia","145","39209999","Others Plate/ Sheets Etc. Of Other Plastic N.E.S","Kgs",0.6,5.25,0.01
"2025-10-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","3034300","Skipjack Tuna( Stripe-Bellied Bonito), (Katsuwonuspelamis)","Kgs",414000,4.65,0.53
"2020-10-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29051690","Other Saturated Octanol","Kgs",0,0.2,0
"2018-02-01","Georgia","GEO","268","Asia","142","Western Asia","145","94038900","Others","Nos",0.02,0.7,0
"2015-04-01","Israel","ISR","376","Asia","142","Western Asia","145","73182200","Other Washers,Non-Threaded","Kgs",0.3,0.37,0
"2019-06-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","90183100","Syringes,W/N With Needles","Nos",0.05,3.77,0.01
"2024-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","38231200","Oleic Acid","Kgs",270,0,0
"2021-03-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","29336990","Other Cmpnd Cntng An Unfused Triazine Ring(W/N Hydrgntd) In Structure","Kgs",0.1,122.91,0.17
"2021-09-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","73259910","Other Cast Artcles Of Iron Malleable","Kgs",5.6,5.06,0.01
"2015-05-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","29209099","*Other Esters Of Other Inorganic Acids Of Non-Metls And Their Salts","Kgs",24.2,35.56,0.06
"2020-11-01","Nepal","NPL","524","Asia","142","Southern Asia","34","90183910","Catheters (For Urine,Stool)","Nos",83.85,31.37,0.04
"2024-04-01","Iraq","IRQ","368","Asia","142","Western Asia","145","12024210","Kernels, H.P.S","Kgs",579000,5.63,0.68
"2016-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","68051010","Abrasive Cloths","Kgs",1.48,4.9,0.01
"2018-05-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","71039990","Other Stone Cut(Topaz Aquamarine Etc)","Ctm",103.98,25.26,0.04
"2016-11-01","Oman","OMN","512","Asia","142","Western Asia","145","73041990","Other","Kgs",2,8.29,0.01
"2017-09-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","62053000","Mens Or Boys Shirts Of Man-Made Fibres","Nos",8.61,25.79,0.04
"2020-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","30039011","Medicants Of Ayurvedic System","Kgs",0.29,1.78,0
"2015-05-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","76072090","Other Backed Allumnm Foil","Kgs",1.52,5.15,0.01
"2018-08-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","20041000","Potatoes Prpd/Prsvd, Frzn","Kgs",182.37,135.71,0.2
"2017-09-01","Qatar","QAT","634","Asia","142","Western Asia","145","49111010","Posters, Printed","Kgs",0.03,0.36,0
"2015-01-01","Oman","OMN","512","Asia","142","Western Asia","145","87149510","Bicycle Saddles","Kgs",0.2,0.26,0
"2025-06-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","40059190","Other Plates Sheets And Strip","Kgs",5,0.01,0
"2018-10-01","Jordan","JOR","400","Asia","142","Western Asia","145","54079200","Other Synthtic Woven Fabrics,Dyed","Sqm",76.88,67.81,0.09
"2017-01-01","Maldives","MDV","462","Asia","142","Southern Asia","34","52081190","Others","Sqm",0.25,0.25,0
"2016-04-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","23099010","Compounded Animal Feed","Kgs",11.22,37.5,0.06
"2020-03-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","85052000","Electro-Mgntc Couplings,Clutches And Brakes","Kgs",0,0.3,0
"2025-04-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","90302000","Cthod-Ray Osclscps And Cthod-Ray Osclogrphs","Nos",1,0.42,0.05
"2018-04-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","21069030","Betel Nut Product Known As Supari","Kgs",0.04,0.07,0
"2019-08-01","Bahrain","BHR","48","Asia","142","Western Asia","145","30049099","Other Medcne Put Up For Retail Sale N.E.S","Kgs",0.09,42.6,0.06
"2019-11-01","Myanmar","MMR","104","Asia","142","South-eastern Asia","35","85287219","Other Lcd Tv Set","Nos",0,2.5,0
"2020-07-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","85437099","Others","Nos",0.37,52.53,0.07
"2025-02-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","34011941","Household Soaps","Kgs",6230,0.03,0
"2016-02-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","52052210","Grey","Kgs",13.8,62.22,0.09
"2021-09-01","Japan","JPN","392","Asia","142","Eastern Asia","30","71023910","Diamond(Othr Thn Indstrl Diamond)Cut Or Otherwise Worked But Not Mounted Or Set","Ctm",87.36,16710.87,22.72
"2021-06-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","73182990","Other Non-Threaded Articles N.E.S.","Kgs","",0.01,""
"2015-02-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","96099030","Pastels,Drawing Charcoals And Writing Or Drawing Chalks And Tailors Chalks","Kgs",15.44,5.66,0.01
"2021-06-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","99930090","Special Transactions N.E.S.","","",0.06,""
"2024-08-01","Iraq","IRQ","368","Asia","142","Western Asia","145","28092010","Ph0Sph0Ric Acid","Kgs",40,0,0
"2021-10-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","71123000","Ash Cntng Prcs Mtl/Prcs Mtl Cmpnds","Kgs",0.55,11.61,0.02
"2025-04-01","Kuwait","KWT","414","Asia","142","Western Asia","145","84799090","Prts Of Othr Mchnry And Mchncl Applncs,Hvng Indvdl Functns","Kgs",125,0.1,0.01
"2019-01-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","76169990","Others Articles Of Aluminium N.E.S.","Kgs",1.46,9.97,0.01
"2018-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","61071210","Underpants And Briefs Of Syn Fibres","Nos",2.67,7.52,0.01
"2021-04-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","62044120","Blazers Of Wool And Fine Animal Hair","Nos",0,0.01,""
"2019-11-01","Uzbekistan","UZB","860","Asia","142","Central Asia","143","87089900","Otr Prtsandaccssrs Of Vhcls Of Hdg 8701-8705","Kgs",92.58,291.21,0.41
"2015-03-01","Turkiye","TUR","792","Asia","142","Western Asia","145","85439000","Parts Of Articles Of Heading 8543","Kgs",0,0.14,0
"2020-02-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","57050042","Mats And Mattings Including Bath Mats, Where Cotton Predominates By Weight, Of Handloom, Cotton Rugs Of Handloom","Sqm",3.03,19.98,0.03
"2024-12-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","85094010","Electric Coffee Mills And Food Grinders","Nos",1,0,0
"2015-12-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","31059090","Other Fertilisers N.E.S.","Kgs",250,455.95,0.68
"2020-11-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","28211010","Iron Oxides","Kgs",1.6,44.65,0.06
"2015-10-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","29041090","Othr Drvtv Cntng Only Sulpho Group, Their Salts And Ethyl Esters","Kgs",67.47,210.21,0.32
"2017-09-01","Oman","OMN","512","Asia","142","Western Asia","145","83026000","Automatic Door Closers","Kgs",0.2,3.53,0.01
"2020-02-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","85442010","Co-Axial Cable","Mtr",0.73,1.71,0
"2016-12-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","82072000","Dies For Drawng Or Extrudng Metal","Kgs",0.17,7.88,0.01
"2018-04-01","Japan","JPN","392","Asia","142","Eastern Asia","30","42029100","Othr Articls With Outer Surfce Of Lthr Of Composition Of Leather/Of Patent Leather","Nos",6.71,39.46,0.06
"2024-12-01","Qatar","QAT","634","Asia","142","Western Asia","145","9041200","Crushed Or Ground Pepper","Kgs",7440,0.32,0.04
"2025-06-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","73181900","Other Threaded Articles","Kgs",90,0.01,0
"2020-03-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","48026120","Poster Paper","Kgs",63.04,39.59,0.05
"2016-06-01","China","CHN","156","Asia","142","Eastern Asia","30","33019090","Othr Conc Of Esnl Oils In Fats/Fixd/Wax Like Trpnc Byprdcts Of Deterpenation Of Esnl Oils Aqus Distlts/Soltn Esnl Ol","Kgs",0,0.24,0
"2020-06-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","29142990","Other Cyclanic Etc Ketones Without Other Oxygn Fn.","Kgs",0.92,43.13,0.06
"2019-10-01","Singapore","SGP","702","Asia","142","South-eastern Asia","35","84433250","Ink Jet Printer","Nos",1.03,86.25,0.12
"2020-06-01","Israel","ISR","376","Asia","142","Western Asia","145","33012942","Lemon Grass Oil","Kgs",0.01,0.05,""
"2024-08-01","Kyrgyzstan","KGZ","417","Asia","142","Central Asia","143","29397900","Other","Kgs",800,0.71,0.09
"2021-08-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84145990","Others","Nos",0.55,22.39,0.03
"2017-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","72210011","Bright Bars-Chromium Type","Kgs",20,17.17,0.03
"2020-10-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","71131130","Othr Artcls Of Silver Jwellery","Kgs","",0.58,0
"2017-11-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","54077200","Woven Fabrics,Cntng 85% Or More By Wt Of Othr Synthetic Filaments, Dyed","Sqm",206.22,104.17,0.16
"2020-11-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","85469090","Othr Elctrl Insltrs Of Othr Matrls","Kgs",0.27,30.13,0.04
"2018-12-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","90211000","Orthopeaedic Or Fracture Appliances","Nos",12.04,44.36,0.06
"2025-04-01","Nepal","NPL","524","Asia","142","Southern Asia","34","68022900","Otr Smply Cut/Swn Stne Wth A Flt Evn Srfce","Kgs",840,0,0
"2015-04-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","29362310","Vitamin B2 (Riboflavin, Lactoplavin) And Its Salts","Kgs",0.45,22.13,0.04
"2015-01-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","9103090","Other Turmeric","Kgs",36,23.55,0.04
"2025-03-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","85123010","Horns","Nos",7302,0.2,0.02
"2017-10-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","90173029","Othr Gauges","Nos",0.07,0.67,0
"2020-08-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","54078440","Polyester Suitings","Sqm",1,2.14,0
"2021-11-01","Nepal","NPL","524","Asia","142","Southern Asia","34","40129020","Solid Rubber Tyres For Other Vehivles","Kgs",0.25,0.16,0
"2016-01-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","90319000","Parts And Accessories Of Instrmnts Of 9031","Kgs",0.01,1.52,0
"2015-04-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","32041159","Other Disperse Blue","Kgs",1.18,5.45,0.01
"2021-04-01","Turkiye","TUR","792","Asia","142","Western Asia","145","29054300","Mannitol","Kgs",0,0.02,""
"2024-10-01","China","CHN","156","Asia","142","Eastern Asia","30","12099190","Vegetable Seeds For Planting N.E.S.","Kgs",217,0.13,0.01
"2024-09-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","39233090","Crbys Bttls Flskand Smlr Artcl Of Plstcs Nes","Kgs",22911,1.33,0.16
"2018-10-01","Islamic Republic of Iran","IRN","364","Asia","142","Southern Asia","34","22011010","Mineral Waters","Ltr",0.01,0.02,""
"2018-05-01","Israel","ISR","376","Asia","142","Western Asia","145","61034990","Trousers,Bib,Shorts Etc Of Other Fibres","Nos",0.01,0.09,0
"2020-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","69029090","Others","Ton",0,0.38,0
"2025-10-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","70080020","Multiple Walled Glazed Glass","Kgs",4289,0.07,0.01
"2020-10-01","Turkiye","TUR","792","Asia","142","Western Asia","145","90248010","For Testing Textiles, Paper And Paperboard","Nos",0,1.79,0
"2024-06-01","Maldives","MDV","462","Asia","142","Southern Asia","34","84716060","Mouse","Nos",20,0,0
"2018-10-01","Afghanistan","AFG","4","Asia","142","Southern Asia","34","64041990","Others","Prs",1.03,1.2,0
"2025-01-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","28362090","Other Disodium Carbonate","Kgs",21070,0.09,0.01
"2021-10-01","Nepal","NPL","524","Asia","142","Southern Asia","34","29222933","Para Acetyl Aminophenol(Paracetamol)","Kgs",13.2,88.58,0.12
"2015-05-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","72261100","Flt-Rld Prdcts Of Silicon Electrical Stl Grain-Oriented","Kgs",102,139.99,0.22
"2025-08-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","29053100","Ethylene Glycol (Ethanediol)","Kgs",100,0,0
"2021-07-01","Viet Nam","VNM","704","Asia","142","South-eastern Asia","35","84713090","Othr Dgtl Automatc Data-Procesng Machine Weghng <=10Kg Wth A Keyboard And Display Consistng Of A Central Procesng Ma","Nos",0,0.23,0
"2025-05-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","61112000","Babies Garments Etc Of Cotton","Kgs",495,0.04,0
"2016-04-01","China","CHN","156","Asia","142","Eastern Asia","30","84484990","Othr Prts And Accssrs Of Other Weaving Mchns","Kgs",2.56,33.33,0.05
"2019-08-01","Nepal","NPL","524","Asia","142","Southern Asia","34","42032110","Gloves For Sports","Kgs",3.71,5.86,0.01
"2018-05-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","84439960","Parts And Accessories Of Goods Of Sub- Heading 8443 39","Nos",0.01,5.88,0.01
"2025-07-01","Japan","JPN","392","Asia","142","Eastern Asia","30","55151930","Fbrc Of Polstr Mxd Wth Othr Fibrs, Dyed","Sqm",73,0,0
"2021-11-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","84799040","Parts 0F Plants And Machinery For Chemicals,Pharmaceuticals Etc","Kgs",0.08,3.08,0
"2016-12-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","9103010","Fresh","Kgs",83,71.6,0.11
"2017-09-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","30045033","Preparation Of Vitamin B9","Kgs",0.25,4.29,0.01
"2021-01-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","55111000","Yrn Of Synthtc Staple Fibres Cntng 85% Or More By Weight Of Such Fibres","Kgs",0.27,1.73,0
"2024-10-01","Sri Lanka","LKA","144","Asia","142","Southern Asia","34","83099010","Pilfer Proof Caps For Packaging, All Sortswith/Without Washers Or Othr Fittings Of Cork, Ruber, Polythylene Or Any Othr","Kgs",13403,0.78,0.09
"2015-08-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","28276090","Other Idodies And Oxyiodides","Kgs",0,0.18,0
"2024-07-01","Kuwait","KWT","414","Asia","142","Western Asia","145","8045023","Chausa","Kgs",110,0,0
"2018-02-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","58109210","Embroidery Badges, Mdtifs And The Like","Kgs",0.01,1.4,0
"2021-02-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","2062900","Othr Edible Offal Of Bovine Animals,Frozen","Kgs",470.67,491.81,0.68
"2017-06-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","90183210","Suture Needles","Kgs",0.04,10.24,0.02
"2017-07-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","84841010","Asbsts Mtlc Pckngs And Gskts(Excl Gskts Of Asbsts Board Reinfrcd Wth Mtl Gauze/Wire)","Kgs",0,0.03,""
"2021-07-01","Jordan","JOR","400","Asia","142","Western Asia","145","71039130","Emeralds","Ctm",0.19,9.92,0.01
"2018-12-01","Oman","OMN","512","Asia","142","Western Asia","145","73079190","Non-Galvanised","Kgs",33.97,91.42,0.13
"2024-07-01","Bahrain","BHR","48","Asia","142","Western Asia","145","55151190","Fbrc Of Polstr,Mxd Wth Viscos Ryon,Othrs","Sqm",6619,0.1,0.01
"2020-05-01","Nepal","NPL","524","Asia","142","Southern Asia","34","30043921","Gonadotrophins","Kgs",0.04,10.99,0.01
"2019-04-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","84223000","Mchnry Fr Fillng,Closng,Sealng,Capsulng Or Labelling Bottles,Cans,Boxes,Bags/Othr Containers;Mchnry For Aerating Bever","Kgs",0.4,0.91,0
"2017-05-01","Qatar","QAT","634","Asia","142","Western Asia","145","48191090","Cartnsandcases Of Corrugated Paprandpaprbrd","Kgs",0.23,0.22,0
"2021-08-01","Turkiye","TUR","792","Asia","142","Western Asia","145","35040010","Peptone","Kgs",0,0.04,""
"2018-09-01","China","CHN","156","Asia","142","Eastern Asia","30","29029050","Is0Butyl Benzene","Kgs",460,669.88,0.93
"2021-06-01","Republic of Korea","KOR","410","Asia","142","Eastern Asia","30","29081900","Other Derivtvs Containing Only Halogen Substituents And Their Salts","Kgs",32.2,85.38,0.12
"2017-03-01","Kuwait","KWT","414","Asia","142","Western Asia","145","9109914","Ajwan Seed (Bishop Seed)","Kgs",0.25,0.45,0
"2025-04-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","56050010","Real Zari Thread(Gold And Silver Thread Combined With Textile Thread)","Kgs",9844,0.2,0.02
"2017-02-01","Nepal","NPL","524","Asia","142","Southern Asia","34","23040030","Meal Of Soyabean,Solvent Extracted (Defatted) Variety","Kgs",13413.26,3393.87,5.06
"2017-03-01","Cambodia","KHM","116","Asia","142","South-eastern Asia","35","33049930","Moisturising Lotion","Kgs",1.5,4.62,0.01
"2025-04-01","Türkiye","TUR","792","Asia","142","Western Asia","145","84431300","Other Offset Printing Machinery","Nos",1,0.5,0.06
"2021-12-01","Nepal","NPL","524","Asia","142","Southern Asia","34","84483210","Prts And Accssrs For Cotn Prcsng Mchns","Kgs","",0.51,0
"2015-12-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","17023010","Glucose Liquid","Kgs",640,176.26,0.26
"2015-08-01","Oman","OMN","512","Asia","142","Western Asia","145","84773000","Blow Moulding Machines","Nos",0,70.14,0.11
"2017-11-01","Iraq","IRQ","368","Asia","142","Western Asia","145","85392940","Other Automobile Lamps","Nos",0.16,0.1,0
"2021-06-01","Oman","OMN","512","Asia","142","Western Asia","145","38019000","Other (Graphite Based Preparations)","Kgs",54.43,51.09,0.07
"2025-06-01","Thailand","THA","764","Asia","142","South-eastern Asia","35","23099020","Concentrated For Compound Animal Feed","Kgs",115700,2.13,0.25
"2024-07-01","Pakistan","PAK","586","Asia","142","Southern Asia","34","30024123","Measles, Mumps And Rubella (Mmr)","Kgs",150,0.36,0.04
"2018-01-01","Taiwan, Province of China","TWN","158","Asia","142","Eastern Asia","30","32151110","Black Lithographic Ink And Jelly","Kgs",0.08,0.41,0
"2025-06-01","Nepal","NPL","524","Asia","142","Southern Asia","34","23050020","Oil-Cake And Oil-Cake Meal Of Groundnut Slvnt Extracted Varity(Defatted)","Kgs",38720,0.1,0.01
"2019-08-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","74191029","*Other Parts","Kgs",0.1,1.11,0
"2019-05-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","72192320","Hot-Rolled,Nickel Chromium Austenitic Type","Kgs",0.15,0.35,0
"2020-03-01","Maldives","MDV","462","Asia","142","Southern Asia","34","64059000","All Other Footwear","Prs",0.19,0.17,0
"2025-09-01","Indonesia","IDN","360","Asia","142","South-eastern Asia","35","58012290","Others","Sqm",87,0,0
"2021-11-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","84425090","Others","Kgs",0.02,44.78,0.06
"2020-12-01","Bangladesh","BGD","50","Asia","142","Southern Asia","34","58079090","Othr Labels Badges And Smlr Artxls","Kgs",0.15,4.02,0.01
"2018-10-01","Bhutan","BTN","64","Asia","142","Southern Asia","34","17011490","Other Cane Sugar Excl. Those Specified In Note 2","Kgs",37,13.82,0.02
"2024-07-01","Hong Kong","HKG","344","Asia","142","Eastern Asia","30","85043200","Othr Trnsfrmrs Hvng A Pwr Hndlng Capacity Excdng 1 Kva But Nt Excdng 16Kva","Nos",28000,0.01,0
"2021-08-01","Israel","ISR","376","Asia","142","Western Asia","145","48101990","Other","Kgs",54.69,32.19,0.04
"2018-06-01","Saudi Arabia","SAU","682","Asia","142","Western Asia","145","20081920","Other Roasted Nuts And Seeds","Kgs",339,238.43,0.35
"2020-09-01","Brunei Darussalam","BRN","96","Asia","142","South-eastern Asia","35","82034090","Others","Kgs",0.01,0.06,""
"2021-11-01","Malaysia","MYS","458","Asia","142","South-eastern Asia","35","28332290","Other Aluminium Sulphate","Kgs",0.02,0.13,0
"2024-06-01","Azerbaijan","AZE","31","Asia","142","Western Asia","145","90275090","Others","Nos",1,0.02,0
"2019-01-01","United Arab Emirates","ARE","784","Asia","142","Western Asia","145","62129090","Othr Thn Suspndr Blts,Brcs,Suspndr Gouters","Nos",0.46,0.71,0
